date,time,Total kW,Total kVA,Total kVAr,PF
2020-12-31,01:00:00,19310.0,20320.0,6326.63417624253,0.9502952755905512
2020-12-31,02:00:00,18510.0,19490.0,6102.458520956943,0.9497178040020523
2020-12-31,03:00:00,18040.0,19040.0,6089.334939055331,0.9474789915966386
2020-12-31,04:00:00,17700.0,18740.0,6156.102663211523,0.9445037353255069
2020-12-31,05:00:00,17320.0,18320.0,5969.92462263972,0.9454148471615721
2020-12-31,06:00:00,17480.0,18550.0,6209.033741251532,0.9423180592991913
2020-12-31,07:00:00,17360.0,18510.0,6422.655214161819,0.9378714208535927
2020-12-31,08:00:00,16880.0,18220.0,6858.133856961382,0.9264544456641054
2020-12-31,09:00:00,17340.0,18770.0,7185.909824093258,0.9238145977623868
2020-12-31,10:00:00,18400.0,19930.0,7657.99582136214,0.9232313095835424
2020-12-31,11:00:00,19020.0,20660.0,8066.92010621154,0.920619554695063
2020-12-31,12:00:00,18930.0,20530.0,7945.816509333701,0.9220652703360935
2020-12-31,13:00:00,19180.0,20760.0,7943.878146094639,0.9238921001926782
2020-12-31,14:00:00,19850.0,21420.0,8049.465820785874,0.9267040149393091
2020-12-31,15:00:00,20310.0,21970.0,8377.636898314464,0.9244424214838416
2020-12-31,16:00:00,20220.0,21830.0,8228.031356284442,0.9262482821804856
2020-12-31,17:00:00,19710.0,21370.0,8257.893193787384,0.9223210107627515
2020-12-31,18:00:00,19370.0,21010.0,8137.763820608214,0.9219419324131366
2020-12-31,19:00:00,21000.0,22320.0,7561.904522010312,0.9408602150537635
2020-12-31,20:00:00,22350.0,23290.0,6549.931297349614,0.9596393301846285
2020-12-31,21:00:00,22080.0,22980.0,6368.202258094509,0.9608355091383812
2020-12-31,22:00:00,20760.0,21720.0,6385.9846539120335,0.9558011049723757
2020-12-31,23:00:00,19670.0,20740.0,6575.614039768453,0.9484088717454194
2021-01-01,00:00:00,18780.0,19850.0,6429.160131774601,0.9460957178841309
2021-01-01,01:00:00,18180.0,19230.0,6267.415735372913,0.9453978159126365
2021-01-01,02:00:00,18300.0,19260.0,6004.798081534465,0.9501557632398754
2021-01-01,03:00:00,18410.0,19370.0,6022.358342045083,0.9504388229220444
2021-01-01,04:00:00,18030.0,19040.0,6118.880616583396,0.946953781512605
2021-01-01,05:00:00,17520.0,18530.0,6034.111367881769,0.9454937938478144
2021-01-01,06:00:00,17220.0,18280.0,6134.329629226,0.9420131291028446
2021-01-01,07:00:00,16890.0,18120.0,6562.187135399295,0.9321192052980133
2021-01-01,08:00:00,16190.0,17680.0,7103.9636823395995,0.9157239819004525
2021-01-01,09:00:00,16320.0,17930.0,7425.799620242927,0.9102063580591188
2021-01-01,10:00:00,16870.0,18460.0,7494.978318847894,0.9138678223185266
2021-01-01,11:00:00,17790.0,19500.0,7985.3553458816095,0.9123076923076923
2021-01-01,12:00:00,18370.0,20080.0,8108.606538734013,0.9148406374501992
2021-01-01,13:00:00,18890.0,20600.0,8217.536127088217,0.9169902912621359
2021-01-01,14:00:00,19420.0,21200.0,8503.152356626335,0.9160377358490566
2021-01-01,15:00:00,19750.0,21490.0,8470.985774985105,0.9190321079571894
2021-01-01,16:00:00,19680.0,21400.0,8405.807516235427,0.9196261682242991
2021-01-01,17:00:00,18690.0,20250.0,7793.997690530836,0.922962962962963
2021-01-01,18:00:00,18390.0,19960.0,7759.478075231606,0.9213426853707415
2021-01-01,19:00:00,20090.0,21470.0,7573.163143627635,0.935724266418258
2021-01-01,20:00:00,22060.0,23220.0,7247.399533625837,0.9500430663221361
2021-01-01,21:00:00,22370.0,23380.0,6797.609874066031,0.9568006843455945
2021-01-01,22:00:00,21900.0,22830.0,6449.720924195092,0.9592641261498029
2021-01-01,23:00:00,20970.0,21920.0,6383.220190468131,0.9566605839416058
2021-02-01,00:00:00,20060.0,21110.0,6574.838401055953,0.9502605400284225
2021-02-01,01:00:00,19010.0,20000.0,6214.49112960989,0.9505
2021-02-01,02:00:00,18450.0,19480.0,6250.431985071112,0.9471252566735113
2021-02-01,03:00:00,18250.0,19360.0,6461.199579025554,0.9426652892561983
2021-02-01,04:00:00,17790.0,18910.0,6411.240129647305,0.940772078265468
2021-02-01,05:00:00,17570.0,18730.0,6489.067729651156,0.9380672717565403
2021-02-01,06:00:00,17620.0,18820.0,6612.715024859305,0.9362380446333688
2021-02-01,07:00:00,17420.0,18750.0,6935.856111540954,0.9290666666666667
2021-02-01,08:00:00,16930.0,18490.0,7433.384155282169,0.9156300703082747
2021-02-01,09:00:00,17690.0,19370.0,7890.5513115371095,0.9132679401135777
2021-02-01,10:00:00,18270.0,20020.0,8185.81089446855,0.9125874125874126
2021-02-01,11:00:00,18730.0,20560.0,8479.428046749379,0.9109922178988327
2021-02-01,12:00:00,18910.0,20620.0,8221.69690514069,0.9170708050436469
2021-02-01,13:00:00,19100.0,20740.0,8083.167695897444,0.9209257473481196
2021-02-01,14:00:00,19730.0,21340.0,8131.586561059287,0.9245548266166823
2021-02-01,15:00:00,19750.0,21270.0,7896.22694709315,0.9285378467324871
2021-02-01,16:00:00,19500.0,20900.0,7520.638270785266,0.9330143540669856
2021-02-01,17:00:00,19700.0,21180.0,7778.328869365193,0.9301227573182247
2021-02-01,18:00:00,19370.0,20850.0,7715.283533351188,0.9290167865707434
2021-02-01,19:00:00,20390.0,21560.0,7005.819009937382,0.9457328385899815
2021-02-01,20:00:00,21880.0,22790.0,6375.711724976279,0.960070206230803
2021-02-01,21:00:00,22640.0,23540.0,6446.85970066047,0.9617672047578589
2021-02-01,22:00:00,22420.0,23280.0,6269.130721240386,0.9630584192439863
2021-02-01,23:00:00,21140.0,21950.0,5907.867635619471,0.9630979498861048
2021-03-01,00:00:00,19940.0,20750.0,5740.984236174142,0.9609638554216867
2021-03-01,01:00:00,19090.0,19930.0,5725.102619167625,0.9578524836929252
2021-03-01,02:00:00,18310.0,19210.0,5811.024006145561,0.9531494013534617
2021-03-01,03:00:00,18040.0,18930.0,5736.139816984938,0.9529846804014791
2021-03-01,04:00:00,17500.0,18370.0,5586.3136324413435,0.9526401741970604
2021-03-01,05:00:00,17380.0,18330.0,5824.474225198357,0.9481723949809057
2021-03-01,06:00:00,17430.0,18340.0,5705.322076798119,0.950381679389313
2021-03-01,07:00:00,17270.0,18140.0,5550.378365481041,0.9520396912899669
2021-03-01,08:00:00,17530.0,18630.0,6306.82170352072,0.940955448201825
2021-03-01,09:00:00,17840.0,19180.0,7043.209495677379,0.9301355578727841
2021-03-01,10:00:00,17330.0,18890.0,7516.861047006257,0.9174166225516146
2021-03-01,11:00:00,16480.0,18140.0,7580.8442801577185,0.9084895259095921
2021-03-01,12:00:00,16340.0,17870.0,7234.7287440511545,0.9143816452154448
2021-03-01,13:00:00,17390.0,18950.0,7529.30275656385,0.9176781002638522
2021-03-01,14:00:00,19110.0,20610.0,7718.808198161164,0.9272197962154294
2021-03-01,15:00:00,18380.0,19990.0,7859.751904481464,0.9194597298649325
2021-03-01,16:00:00,13690.0,14850.0,5753.81612497306,0.9218855218855219
2021-03-01,17:00:00,16560.0,17840.0,6635.66123306487,0.9282511210762332
2021-03-01,18:00:00,17610.0,19020.0,7186.675170062997,0.9258675078864353
2021-03-01,19:00:00,18720.0,19890.0,6721.138296449493,0.9411764705882353
2021-03-01,20:00:00,20280.0,21140.0,5968.3498556971335,0.9593188268684958
2021-03-01,21:00:00,20820.0,21630.0,5863.829806534292,0.9625520110957004
2021-03-01,22:00:00,20860.0,21690.0,5942.768715001451,0.9617335177501153
2021-03-01,23:00:00,19590.0,20400.0,5691.3882313544555,0.9602941176470589
2021-04-01,00:00:00,18550.0,19520.0,6076.833056782126,0.9503073770491803
2021-04-01,01:00:00,17900.0,18930.0,6159.131432271924,0.9455890121500264
2021-04-01,02:00:00,17490.0,18570.0,6240.576896409498,0.9418416801292407
2021-04-01,03:00:00,17160.0,18260.0,6241.954822008887,0.9397590361445783
2021-04-01,04:00:00,17050.0,18180.0,6309.508697196637,0.9378437843784379
2021-04-01,05:00:00,16950.0,18100.0,6348.81878777462,0.93646408839779
2021-04-01,06:00:00,16670.0,17760.0,6126.067253956652,0.9386261261261262
2021-04-01,07:00:00,16630.0,17820.0,6402.772836826245,0.9332210998877666
2021-04-01,08:00:00,16210.0,17410.0,6351.692687780163,0.9310740953475014
2021-04-01,09:00:00,17050.0,18420.0,6970.932505769942,0.9256243213897937
2021-04-01,10:00:00,17440.0,18790.0,6993.604221000785,0.9281532730175626
2021-04-01,11:00:00,18020.0,19400.0,7186.069857717777,0.9288659793814433
2021-04-01,12:00:00,18770.0,20300.0,7731.565171425512,0.9246305418719212
2021-04-01,13:00:00,19450.0,20960.0,7811.472332409557,0.9279580152671756
2021-04-01,14:00:00,19680.0,21110.0,7637.38829705548,0.9322595926101374
2021-04-01,15:00:00,20090.0,21660.0,8096.141056083447,0.9275161588180979
2021-04-01,16:00:00,20030.0,21470.0,7730.459236035075,0.9329296693060084
2021-04-01,17:00:00,19980.0,21400.0,7665.4810677478035,0.9336448598130841
2021-04-01,18:00:00,19540.0,20890.0,7387.861666273943,0.935375777884155
